Date,Open,High,Low,Volume,Close
19-04-2022,1385,1388.6,1328,2091982,1343.3
18-04-2022,1440,1440,1390.1,493756,1395.35
13-04-2022,1492.9,1501.95,1462.35,286246,1464.85
12-04-2022,1483.9,1507,1481,463987,1493.25
11-04-2022,1510,1510,1494,413938,1496.2
08-04-2022,1513,1525,1496.95,472233,1515.1
07-04-2022,1543.75,1543.75,1514,263571,1516.9
06-04-2022,1599,1599,1548.45,333541,1550.8
05-04-2022,1671,1671,1602,410187,1607.15
04-04-2022,1562.3,1721.85,1562.3,3684112,1656.45
01-04-2022,1474,1509.9,1471,178324,1506.3
31-03-2022,1478,1484.35,1465.6,66274,1469.95
30-03-2022,1465,1483,1454.1,349900,1476.4
29-03-2022,1440,1460,1430,294890,1452.95
28-03-2022,1432.15,1436.8,1401.6,322868,1432.9
25-03-2022,1448,1451.1,1418.8,404381,1431.75
24-03-2022,1466,1466.05,1434.95,170544,1442.7
23-03-2022,1502,1517.8,1464,228931,1475.65
22-03-2022,1485,1497.95,1457.15,490620,1494.45
21-03-2022,1487,1493.7,1471.75,219081,1486.05
17-03-2022,1474.65,1489.9,1469.7,131873,1480.25
16-03-2022,1450,1454.85,1436.6,115220,1447.85
15-03-2022,1445,1449.95,1412.15,273660,1423.8
14-03-2022,1411,1449.9,1411,690541,1442.4
11-03-2022,1390,1409,1373.65,215335,1397
10-03-2022,1426.3,1426.3,1380.2,297516,1392.1
09-03-2022,1334.4,1374.6,1319.15,277538,1370.75
08-03-2022,1300,1334.55,1292,469541,1327.05
07-03-2022,1320,1330.55,1297.4,900647,1323.7
04-03-2022,1362,1385.6,1336.65,327101,1366.6
03-03-2022,1384.5,1392.25,1363.1,782536,1370.25
02-03-2022,1385,1397.95,1355,854944,1374.55
28-02-2022,1435.15,1438.2,1414.4,674434,1426.7
25-02-2022,1444,1465.95,1431.9,390256,1455.65
24-02-2022,1440,1473.5,1408.1,672765,1419.6
23-02-2022,1526,1526,1496.6,204617,1501.9
22-02-2022,1495,1522.15,1490,189998,1511.45
21-02-2022,1502,1529.9,1495.55,235659,1521.75
18-02-2022,1497,1517.25,1491,139914,1512.65
17-02-2022,1515,1522,1502.3,192037,1506.3
16-02-2022,1526.05,1533.75,1507.15,265113,1516.05
15-02-2022,1474.9,1524.95,1472.6,142507,1518.2
14-02-2022,1462.05,1498.4,1462.05,317973,1473.05
11-02-2022,1508.45,1524.95,1501,137212,1518.85
10-02-2022,1510.6,1535,1501.45,355549,1524.15
09-02-2022,1476.55,1499.25,1467,97678,1497.7
08-02-2022,1473.5,1479,1445,286057,1461.1
07-02-2022,1514,1519.15,1460,233692,1468.6
04-02-2022,1535,1535,1513.7,302768,1524.25
03-02-2022,1529,1539.4,1508.25,332001,1514.35
02-02-2022,1512,1535,1504.95,429197,1531.2
01-02-2022,1500,1516.9,1474.2,1155466,1498.4
31-01-2022,1473.7,1491.2,1466.75,185150,1485.55
28-01-2022,1485,1486.35,1460.05,297563,1463.3
27-01-2022,1460,1483.65,1435.25,247236,1476.3
25-01-2022,1464,1494.4,1444.05,362501,1487.25
24-01-2022,1518.95,1520.15,1467.95,130592,1487.45
21-01-2022,1500,1528.9,1486.3,256321,1520.7
20-01-2022,1525.15,1526.95,1500,190843,1509.7
19-01-2022,1535,1539,1513.35,193600,1518.55
18-01-2022,1531.5,1550,1523.25,357984,1529.6
17-01-2022,1545,1556.45,1519.65,448365,1521.55
14-01-2022,1530,1548.45,1519.65,262320,1545.25
13-01-2022,1559,1559,1520.55,519246,1528.35
12-01-2022,1571,1576,1552,148893,1556.55
11-01-2022,1564,1568.55,1548,98811,1565.7
10-01-2022,1558.65,1571.75,1545.05,111975,1558.85
07-01-2022,1538.1,1566.65,1535.45,214956,1550.4
06-01-2022,1540.55,1553.5,1530.05,90321,1539.9
05-01-2022,1536,1572,1529,199252,1564.65
04-01-2022,1519.7,1532.4,1508,255724,1528.4
03-01-2022,1479.8,1522.9,1479.8,600805,1519.7
31-12-2021,1460,1484.85,1460,185943,1479.8
30-12-2021,1457.4,1465.9,1446.55,126226,1461.55
29-12-2021,1459,1461.15,1447.85,161480,1453.65
28-12-2021,1461,1467,1454,374115,1460.9
27-12-2021,1433,1453.6,1421.3,236492,1450.15
24-12-2021,1449,1449,1427.95,120812,1439.3
23-12-2021,1454,1457.5,1437,342612,1444
22-12-2021,1449,1455.9,1436.15,243875,1445.3
21-12-2021,1436,1450.85,1430,232633,1442.3
20-12-2021,1457,1457,1414,1108819,1426.6
17-12-2021,1500.2,1500.25,1468,554208,1472.9
16-12-2021,1504.1,1516.2,1493.65,191063,1500.2
15-12-2021,1497.35,1520,1496,263653,1500.85
14-12-2021,1509.75,1514.7,1497.25,150843,1503.5
13-12-2021,1527.05,1537.45,1508,326275,1510.65
10-12-2021,1528.9,1528.9,1508.55,147663,1522.35
09-12-2021,1549,1554.8,1522.1,375166,1527.5
08-12-2021,1540,1555.6,1535.7,661736,1553.45
07-12-2021,1510,1532,1510,398202,1525.45
06-12-2021,1515.7,1519.15,1497.1,128511,1505.4
03-12-2021,1533,1536,1507.55,190499,1513.1
02-12-2021,1515,1528.95,1501.05,92024,1525.65
01-12-2021,1490.55,1507,1488,129565,1504.6
30-11-2021,1494,1529.05,1486.25,102663,1493.6
29-11-2021,1485.15,1507.3,1461.5,306032,1501.2
26-11-2021,1506,1507.1,1485.55,120452,1490.1
25-11-2021,1507,1533,1506.6,111057,1524.25
24-11-2021,1523,1536.45,1514.7,156241,1518.35
23-11-2021,1510,1527.4,1496.7,104588,1516.8
22-11-2021,1539.6,1553.4,1499.05,998009,1515.2
18-11-2021,1530,1543,1526.65,132814,1538.75
17-11-2021,1540,1543.8,1529.5,81189,1530.65
16-11-2021,1558,1558,1541.85,60206,1547.45
15-11-2021,1568,1571.8,1554,155510,1557
12-11-2021,1555,1559,1545.05,130116,1553.3
11-11-2021,1554,1555,1536.4,1077841,1548.4
10-11-2021,1570,1570,1551.55,1109680,1555.05
09-11-2021,1598,1598,1569,305281,1571.15
08-11-2021,1590,1604.75,1571,359705,1600.2
04-11-2021,1599.95,1599.95,1589.75,44664,1594
03-11-2021,1606.7,1610,1576,130943,1581.85
02-11-2021,1609.45,1622.2,1600.5,353535,1606.7
01-11-2021,1583,1611.5,1583,257071,1606.15
29-10-2021,1600,1602,1560.05,246500,1582.35
28-10-2021,1643.3,1648.95,1586.9,88684,1592.55
27-10-2021,1650,1665,1637.05,255586,1642.65
26-10-2021,1652.9,1674,1646.95,169035,1653.05
25-10-2021,1689,1689.3,1616.85,370114,1656.85
22-10-2021,1679,1708,1654.25,396162,1681.95
21-10-2021,1677.7,1681.75,1660.85,195339,1675.7
20-10-2021,1690.95,1700,1664.55,445875,1673.5
19-10-2021,1671.15,1692,1671.15,146432,1688.95
18-10-2021,1709.95,1724.3,1666.85,947940,1670.15
14-10-2021,1642.45,1690,1639.05,304067,1685.9
13-10-2021,1637,1648,1630,86572,1639.05
12-10-2021,1628,1641,1625,141086,1629.3
11-10-2021,1603,1644.85,1600,144074,1634.35
08-10-2021,1612,1621.95,1600,188419,1602.2
07-10-2021,1624.1,1628.05,1607,221896,1611.25
06-10-2021,1601,1626.4,1587,141766,1615.05
05-10-2021,1586.15,1597.55,1577,154555,1595.3
04-10-2021,1590,1601,1583.15,239337,1585.3
01-10-2021,1582,1586.95,1565.7,355982,1582.55
30-09-2021,1592,1606.15,1583.3,441947,1595.5
29-09-2021,1590,1606.9,1584.95,339766,1593.2
28-09-2021,1635,1635,1582.05,185141,1615.95
27-09-2021,1614.05,1635.6,1610.15,438320,1624.25
24-09-2021,1578,1607.8,1575,671255,1601.35
23-09-2021,1548,1572.15,1542.4,534849,1570.25
22-09-2021,1551,1551,1530,203143,1534.45
21-09-2021,1561.15,1568.35,1528.7,113920,1549.85
20-09-2021,1569,1581,1558,234146,1559.35
17-09-2021,1567,1589.85,1559.7,206219,1583.3
16-09-2021,1543.4,1563.9,1537,330616,1559.7
15-09-2021,1541,1554.7,1536.35,254967,1547.1
14-09-2021,1563,1564.75,1546.2,253611,1548.25
13-09-2021,1562,1581,1553.6,245098,1555.35
09-09-2021,1571,1579,1561.1,1165681,1567.65
08-09-2021,1568.25,1580.45,1566,128572,1577.1
07-09-2021,1566.8,1581.95,1555.25,131961,1569.15
06-09-2021,1580,1581.5,1562.55,95631,1566.8
03-09-2021,1589.1,1597.85,1568.4,213128,1575.65
02-09-2021,1579.15,1592,1572,162957,1589.1
01-09-2021,1580,1597.5,1575,154842,1578.5
31-08-2021,1567,1583,1560,102703,1581.5
30-08-2021,1555,1569.9,1548,204332,1568.05
27-08-2021,1544,1558.7,1544,222704,1548.7
26-08-2021,1554.7,1571,1543.45,81855,1554.85
25-08-2021,1555,1564.6,1548,102726,1556.95
24-08-2021,1528,1564.35,1527.4,192191,1558.75
23-08-2021,1528,1534,1509,245842,1523.5
20-08-2021,1488.95,1519.75,1487,102519,1514.35
18-08-2021,1550,1564.75,1508.45,522472,1512.9
17-08-2021,1518.95,1524.35,1505.3,231789,1514.85
16-08-2021,1525.1,1535,1521.6,118740,1529.35
13-08-2021,1502,1531,1501.2,435753,1525.1
12-08-2021,1492,1505,1489.4,199850,1501.4
11-08-2021,1512,1518.7,1491.1,150140,1494.95
10-08-2021,1490.9,1519.5,1490,176442,1507.45
09-08-2021,1485,1506.6,1480,518766,1503.65
06-08-2021,1480,1499.5,1475,283020,1493.7
05-08-2021,1474.9,1506.95,1457.55,382365,1485.65
04-08-2021,1446.95,1474.75,1440.9,287825,1464.85
03-08-2021,1413.4,1439.5,1413.4,310495,1434.45
02-08-2021,1437.8,1437.8,1416.25,143550,1422.75
30-07-2021,1426,1431.85,1409.65,136080,1425.8
29-07-2021,1424.75,1430,1414.1,289879,1417.5
28-07-2021,1436,1436.85,1404.15,272835,1417.6
27-07-2021,1436,1450,1436,73147,1439.8
26-07-2021,1434.75,1443.85,1430,1448926,1434.45
23-07-2021,1450.8,1457.7,1435.5,236030,1442.85
22-07-2021,1458,1468.45,1445.05,153399,1449.1
20-07-2021,1450,1454,1436.25,196323,1443
19-07-2021,1491,1491,1466.15,408272,1470.95
16-07-2021,1522,1530,1519.35,91268,1521.7
15-07-2021,1506.2,1526.6,1501.75,130830,1520.5
14-07-2021,1502,1507.35,1491.3,66497,1498.35
13-07-2021,1495.05,1505.5,1484.2,231288,1501.5
12-07-2021,1505,1505,1483.95,143040,1487.3
09-07-2021,1516,1516,1497.65,60762,1501.8
08-07-2021,1527,1535,1513.35,70702,1520.1
07-07-2021,1539.95,1545.1,1528.3,84974,1539.15
06-07-2021,1503.4,1540.35,1495.3,313175,1534.35
05-07-2021,1484.15,1504.4,1484.15,186668,1495
02-07-2021,1490,1490,1477.05,66265,1480.65
01-07-2021,1501.6,1501.65,1483.15,137095,1486.45
30-06-2021,1502,1508.95,1494.15,66216,1498.05
29-06-2021,1510,1510,1492.5,60313,1501.6
28-06-2021,1517,1523.35,1505.05,80084,1508.1
25-06-2021,1506.55,1522,1506.55,408161,1514.15
24-06-2021,1494.5,1512.75,1488.6,159320,1506.25
23-06-2021,1495,1497.4,1478.65,139507,1485.15
22-06-2021,1493.15,1507.95,1480,315710,1484.35
21-06-2021,1468.65,1491.9,1451,176499,1488.5
18-06-2021,1471.9,1488,1455.15,95186,1479.85
17-06-2021,1470,1478.1,1460,71196,1465.95
16-06-2021,1490.45,1494.15,1478.6,604886,1484.15
15-06-2021,1488.7,1496.25,1477.7,88751,1490.1
14-06-2021,1482,1486,1462.9,97942,1479.4
11-06-2021,1486.1,1494.95,1481,150626,1486.2
10-06-2021,1479.75,1489.45,1473.6,658749,1481.55
09-06-2021,1486,1501.65,1472,263508,1479.75
08-06-2021,1499.3,1501.4,1482,87648,1484
07-06-2021,1505.1,1512.15,1495.85,185130,1499.2
04-06-2021,1521,1521,1499,110917,1501.15
03-06-2021,1509.7,1524.9,1488.15,258566,1520.2
02-06-2021,1511,1511.05,1493.2,89935,1504.1
01-06-2021,1517.2,1526.35,1508,247947,1511.45
31-05-2021,1503.8,1519.35,1487.6,205090,1516.4
28-05-2021,1496.45,1513,1479.4,166729,1501.15
27-05-2021,1477.7,1488.65,1462.35,210073,1479.4
26-05-2021,1489,1489,1470.1,802093,1476.5
25-05-2021,1516,1516,1471,313544,1478.8
24-05-2021,1508,1520.65,1499,332653,1509.25
21-05-2021,1440.1,1501,1440.1,832296,1497
20-05-2021,1458.7,1465.85,1428.65,118574,1432.85
19-05-2021,1466,1478,1453,231599,1457.95
18-05-2021,1459.45,1482.25,1455,251625,1477
17-05-2021,1394,1442,1381.45,573351,1439.95
14-05-2021,1398.7,1398.7,1382.8,218465,1387.15
12-05-2021,1403,1408.9,1389.05,255383,1399.5
11-05-2021,1397.9,1424,1396.95,132214,1403.7
10-05-2021,1426,1429.15,1413.05,114149,1419.3
07-05-2021,1407,1424.5,1407,421320,1414.6
06-05-2021,1406.4,1410.4,1394.8,355625,1401.45
05-05-2021,1404.8,1409,1381.7,330979,1402.45
04-05-2021,1414,1422.85,1384,443294,1388.55
03-05-2021,1399,1421.65,1377.55,299098,1413.1
30-04-2021,1446.1,1457.3,1407.5,458153,1412.2
29-04-2021,1482.5,1503.45,1460.85,381808,1472.4
28-04-2021,1437,1478.7,1431.05,449082,1476.3
27-04-2021,1407.75,1441,1404.9,452785,1438.5
26-04-2021,1414,1428.6,1402.95,317839,1404.9
23-04-2021,1411.5,1434.65,1400.05,404225,1414.3
22-04-2021,1384,1426.9,1371,276544,1422.05
20-04-2021,1429.5,1429.5,1384.4,311966,1390.75
19-04-2021,1395,1417.3,1372.65,296637,1411.9
16-04-2021,1435,1444.95,1423.4,306955,1428.45
15-04-2021,1401,1437.2,1392.55,276582,1430.15
13-04-2021,1369,1406.3,1360.75,231654,1400.3
12-04-2021,1399.65,1399.65,1353.1,283656,1366.6
09-04-2021,1428.5,1431.55,1415,572144,1421.65
08-04-2021,1450.35,1460.6,1430,412114,1433.55
07-04-2021,1437.35,1456.5,1422.05,369897,1447.35
06-04-2021,1455,1462.75,1433.5,295274,1440.95
05-04-2021,1484.65,1484.65,1431,261180,1449
01-04-2021,1502,1502,1469.85,381560,1486.5
31-03-2021,1549,1549,1487.5,411553,1493.55
30-03-2021,1504.25,1561.45,1495.2,583033,1553.55
26-03-2021,1492,1499,1474,260782,1492.2
25-03-2021,1482.5,1495.2,1450.1,412151,1464.65
24-03-2021,1494,1506.45,1471,424751,1479.95
23-03-2021,1475,1507,1469.35,354818,1500.35
22-03-2021,1497.1,1497.1,1460.25,241211,1469.3
19-03-2021,1485,1510.75,1474.35,313921,1497.1
18-03-2021,1508,1521.8,1481.15,284777,1490.35
17-03-2021,1518,1538.65,1490,329993,1495.65
16-03-2021,1529,1540,1509.5,277382,1512.8
15-03-2021,1548.05,1548.05,1515.65,133928,1529.15
12-03-2021,1577,1591.75,1535.65,372413,1551.65
10-03-2021,1570,1575.35,1552.45,252386,1555.8
09-03-2021,1540,1565,1539.95,220421,1562.65
08-03-2021,1541,1555.5,1512.65,192563,1519.4
05-03-2021,1531.8,1545.45,1520.65,323365,1529.65
04-03-2021,1550,1570.7,1540,1345946,1553.2
03-03-2021,1582,1595.7,1565.45,156682,1586.45
02-03-2021,1578,1587,1550.9,183337,1566.4
01-03-2021,1568.3,1573,1541.15,140759,1558.7
26-02-2021,1583.1,1588.15,1521.5,438602,1534.35
25-02-2021,1622,1635.8,1601.4,322733,1605.75
24-02-2021,1517,1650,1517,1879382,1606.25
23-02-2021,1559,1559,1523,258052,1529.15
22-02-2021,1541,1573.8,1539.1,259509,1548.65
19-02-2021,1545,1563.75,1533,205584,1538.8
18-02-2021,1606.05,1606.05,1548.1,234099,1554.3
17-02-2021,1616.8,1621.75,1584,343116,1586.3
16-02-2021,1625,1641.3,1608.1,306528,1626.6
15-02-2021,1598,1625,1596.8,416225,1616.35
12-02-2021,1572.4,1592.3,1572.4,192602,1582.3
11-02-2021,1578.7,1594.95,1565,253454,1572.4
10-02-2021,1609,1614.5,1567.1,304555,1583.5
09-02-2021,1604.3,1627.8,1586.9,256103,1612.05
08-02-2021,1616,1631.6,1595.6,284156,1604.8
05-02-2021,1578.15,1618.4,1550.75,343283,1596.85
04-02-2021,1564.15,1587.8,1543.45,322482,1578.15
03-02-2021,1578.4,1581.4,1542.2,371621,1575.2
02-02-2021,1500,1578,1498.8,1041906,1560.4
01-02-2021,1400,1482,1400,568212,1477.2
29-01-2021,1394.45,1408.8,1364.65,262723,1390.8
28-01-2021,1388,1400,1342,608749,1370.2
27-01-2021,1468,1471.5,1406.25,226598,1409.8
25-01-2021,1466,1480.7,1455.15,274577,1462.4
22-01-2021,1465.15,1468.25,1440.7,165219,1443.65
21-01-2021,1496,1496.05,1468.8,1307764,1473.9
20-01-2021,1504.95,1504.95,1486.5,189056,1490.95
19-01-2021,1492.8,1511,1466.75,714226,1503.4
18-01-2021,1472.8,1503,1467.95,804650,1483.2
15-01-2021,1474,1474,1445.5,236472,1466.35
14-01-2021,1473,1488,1456,225646,1468.05
13-01-2021,1490.1,1494,1461.9,290859,1470.95
12-01-2021,1450.15,1487.5,1449.55,351771,1481.3
11-01-2021,1450.6,1465,1436,500312,1450.8
08-01-2021,1431,1442,1423.35,369997,1431.85
07-01-2021,1429,1432,1413,164225,1416.4
06-01-2021,1448.8,1448.8,1413.55,301131,1420.1
05-01-2021,1416.15,1430,1408.75,301154,1426.2
04-01-2021,1437.35,1438.95,1399,221349,1416.15
01-01-2021,1438,1443.15,1420.6,207953,1424.85
31-12-2020,1433.05,1443.65,1425,361540,1436.75
30-12-2020,1439.7,1439.7,1413.45,215072,1432.85
29-12-2020,1417.3,1434.3,1417.3,328020,1427.1
28-12-2020,1404.45,1421.15,1404,221315,1412.9
24-12-2020,1387.1,1403.6,1377,529123,1396.9
23-12-2020,1375,1381.1,1361.05,390937,1375.75
22-12-2020,1376,1387.05,1345.45,973870,1373.5
21-12-2020,1414.5,1423.8,1366.3,450628,1372.4
18-12-2020,1435,1438.7,1405.65,241345,1411.25
17-12-2020,1415,1444,1404.5,620443,1441.4
16-12-2020,1400,1416.6,1394.9,339891,1410.75
15-12-2020,1383,1395,1365.05,278563,1390.4
14-12-2020,1382,1387.85,1367.75,324067,1369.8
11-12-2020,1386.4,1395.3,1373.3,432604,1382.2
10-12-2020,1402,1402,1375.6,357530,1385.85
09-12-2020,1380,1409.9,1376.3,408109,1405.85
08-12-2020,1377,1388.7,1365.55,284977,1376.25
07-12-2020,1377,1379.4,1358.15,502277,1372.15
04-12-2020,1377,1401,1373.4,397444,1385.15
03-12-2020,1420.1,1431.6,1374.25,735561,1377.05
02-12-2020,1432,1432,1395.45,284792,1406.95
01-12-2020,1440,1448.85,1426.8,143290,1433.55
27-11-2020,1433.45,1446,1415.6,273238,1440.7
26-11-2020,1415.65,1432,1387.15,513010,1426.45
25-11-2020,1450,1464,1397.25,521830,1402.65
24-11-2020,1407.2,1445,1407,644606,1438.65
23-11-2020,1412,1422,1375.25,435408,1394.85
20-11-2020,1374,1408,1365.65,256475,1403.85
19-11-2020,1400,1400,1368,333963,1374.3
18-11-2020,1411,1418.85,1399.7,502607,1408.5
17-11-2020,1386.55,1412.35,1380.8,474107,1408.2
14-11-2020,1370,1374.95,1366,66016,1369.65
13-11-2020,1369.4,1369.4,1346.7,592025,1359
12-11-2020,1350,1388.35,1350,552494,1371.9
11-11-2020,1400,1415,1370.55,470595,1389.7
10-11-2020,1351,1395,1351,817097,1393.6
09-11-2020,1311.7,1345.7,1311.7,684306,1340.9
06-11-2020,1260,1309.95,1260,806794,1307.75
05-11-2020,1264,1276.1,1259.9,515534,1269.55
04-11-2020,1249.05,1264.55,1235.25,487692,1257.5
03-11-2020,1225,1250,1224.95,569341,1248.15
02-11-2020,1195,1224.9,1177.25,333222,1215.5
30-10-2020,1184,1199.25,1176.55,202973,1183.45
29-10-2020,1202,1204,1178.8,220704,1188.05
28-10-2020,1230,1231.7,1201.35,735522,1205.35
27-10-2020,1221.1,1235.95,1198,352075,1233.3
26-10-2020,1232,1242.1,1205,194420,1213
23-10-2020,1240,1248,1231.45,117784,1235.7
22-10-2020,1242,1250,1223,225318,1232.95
21-10-2020,1231,1250.5,1222.2,750877,1247.05
20-10-2020,1212,1227,1205.35,479257,1224.15
19-10-2020,1220,1228.8,1193,820336,1203.35
16-10-2020,1182,1203,1172.95,401346,1199
15-10-2020,1214.8,1216.45,1164.4,382299,1169.15
14-10-2020,1193.3,1214.8,1175.85,246863,1210.85
13-10-2020,1214.15,1221.5,1195.1,201283,1198.15
12-10-2020,1235,1242.5,1206,2023511,1213.4
09-10-2020,1200,1236.95,1191.9,1151656,1233.7
08-10-2020,1175.55,1203,1165,665198,1191.9
07-10-2020,1145,1164.75,1137.5,518314,1162
06-10-2020,1131.7,1148,1126.3,254503,1144.2
05-10-2020,1111,1131.45,1110.65,258318,1114.15
01-10-2020,1085,1109.75,1085,512547,1106.6
30-09-2020,1055.1,1086.55,1052.55,278072,1079.2
29-09-2020,1058.9,1069.9,1051,125794,1062.5
28-09-2020,1050,1059,1042.9,1177774,1054.05
25-09-2020,1053,1053,1026.25,275377,1044.05
24-09-2020,1036.5,1045.05,1025.15,308801,1029.95
23-09-2020,1040,1055,1034.65,361101,1047.55
22-09-2020,1050,1058,1030,249691,1036
21-09-2020,1052,1071.2,1041.15,495062,1048.7
18-09-2020,1090,1092.15,1047.3,275132,1057.4
17-09-2020,1088,1094.35,1077.85,612290,1083.25
16-09-2020,1069.75,1095.5,1069.75,531136,1093.5
15-09-2020,1066,1076,1058.4,207577,1070.9
14-09-2020,1090,1093.9,1053.2,276013,1057.9
11-09-2020,1094,1104.95,1071.1,342173,1078.5
10-09-2020,1105,1105,1084,207916,1090.65
09-09-2020,1101,1111.05,1091.7,200800,1095.7
08-09-2020,1115.8,1119,1104.25,451864,1112.05
07-09-2020,1088.1,1119.95,1088.1,334506,1109.3
04-09-2020,1106,1124.5,1104.55,244820,1119.8
03-09-2020,1135,1145.75,1128.1,247928,1130.7
02-09-2020,1122.05,1138.55,1120.35,358167,1134.2
01-09-2020,1122,1143.55,1109.05,402661,1127.35
31-08-2020,1125.2,1148,1100.75,1154504,1115.2
28-08-2020,1111.95,1124.95,1095.05,462555,1115
27-08-2020,1128,1129.65,1106.1,202887,1111.95
26-08-2020,1120.05,1131.5,1109.6,414800,1117.7
25-08-2020,1120,1127.5,1107,323376,1119.85
24-08-2020,1086,1122.55,1086,854057,1116.8
21-08-2020,1060.25,1088.25,1060.25,441279,1085.7
20-08-2020,1054,1067.35,1052.35,502138,1058.6
19-08-2020,1062.6,1069.7,1056.4,361979,1067.4
18-08-2020,1028.1,1061,1021.45,897580,1056.45
17-08-2020,1045.05,1050,1020.5,535483,1033.55
14-08-2020,1068,1068,1027.6,564768,1034.45
13-08-2020,1065.35,1071,1056.55,428632,1058.95
12-08-2020,1064,1066,1048.4,382900,1063.75
11-08-2020,1051,1071,1049,781388,1067.6
10-08-2020,1041.7,1064.1,1041.7,697679,1051
07-08-2020,1036,1047,1022.5,599185,1044
06-08-2020,1040,1054.6,1026.65,851351,1040.55
05-08-2020,1050.8,1055.6,1020,483496,1027.85
04-08-2020,1005.9,1059.9,1003.1,1061469,1041.4
03-08-2020,1030,1030,994,669872,1001.95
31-07-2020,1053.55,1056.25,1020.6,804138,1032.65
30-07-2020,1071.2,1083.35,1047,907461,1050.45
29-07-2020,1083.8,1088.4,1056,662076,1065.2
28-07-2020,1079.05,1094.25,1059.3,440647,1086.25
27-07-2020,1097.85,1101.4,1075.8,721096,1079.05
24-07-2020,1121,1122.25,1101.45,687842,1118.8
23-07-2020,1125,1143.3,1116.45,455724,1130.7
22-07-2020,1140,1141.55,1118,665550,1126.4
21-07-2020,1150,1157.85,1135,840228,1139.6
20-07-2020,1142,1152.65,1124.65,2047875,1132.8
17-07-2020,1061.45,1103.85,1059,1025663,1099.15
16-07-2020,1052.7,1065.55,1034.4,319847,1062.35
15-07-2020,1066.15,1078.95,1050.35,696569,1052.7
14-07-2020,1064,1069.95,1050,670927,1059.2
13-07-2020,1109,1114.05,1071.2,637536,1080.4
10-07-2020,1122,1122,1100,277259,1105.35
09-07-2020,1115.05,1130,1107.15,253015,1125.7
08-07-2020,1105,1124.35,1105,333288,1109.35
07-07-2020,1106.05,1111.75,1093.15,334941,1105
06-07-2020,1106.1,1118.85,1100,912240,1102.95
03-07-2020,1090.7,1100,1069.8,454526,1074.2
02-07-2020,1091,1110.75,1085.5,560092,1089.7
01-07-2020,1065.7,1095.9,1061.55,907347,1085.65
30-06-2020,1077.9,1078.75,1056.3,435278,1065.7
29-06-2020,1033,1082,1033,1727403,1076.4
26-06-2020,1040,1062.5,1027.65,601584,1055.6
25-06-2020,1015,1049,1007.25,807420,1028.95
24-06-2020,1045.85,1057.65,1029.7,570032,1032.4
23-06-2020,1035,1045,1016.35,621513,1040.85
22-06-2020,1023,1045.2,1023,763426,1028.5
19-06-2020,1022,1042.7,1013.15,717999,1033.65
18-06-2020,980,1024.9,972.25,1170646,1019.75
17-06-2020,986.55,998.45,974.05,822825,980.9
16-06-2020,973,993.45,952.05,1421931,990.35
15-06-2020,972.4,973.3,942.65,922866,950.8
12-06-2020,929,986.45,928,737606,983
11-06-2020,989,989,965.1,494738,968.65
10-06-2020,988.2,1000,978.4,1176521,991.8
09-06-2020,1023.9,1025,979.35,706114,986.95
08-06-2020,1051,1066.8,1006.6,1677455,1015.45
05-06-2020,1003,1041.8,1002.35,572133,1034.75
04-06-2020,1026,1039.45,991.15,793208,1003.25
03-06-2020,1010,1045,1010,630019,1022.1
02-06-2020,988,1005,975.4,685663,1000.9
01-06-2020,970,995,968.5,577537,986.9
24-05-2022,1297.7,1325.3,1296.2,106241,1318.95
23-05-2022,1313,1329.55,1299,382983,1302.9
20-05-2022,1300,1324.2,1292.2,341264,1320.7
19-05-2022,1285,1296.6,1278.3,335166,1287.2
18-05-2022,1322,1333,1310,234160,1314.35
17-05-2022,1314,1317,1298.35,638165,1314.05
16-05-2022,1297,1311.8,1285,146395,1305.1
13-05-2022,1317,1317,1287.05,389864,1290.95
12-05-2022,1328.9,1328.9,1293.35,227388,1303.1
11-05-2022,1354,1355.45,1328.7,283117,1348.1
10-05-2022,1315,1352.95,1315,456119,1341.35
09-05-2022,1305,1326.4,1295.7,489237,1320.1
06-05-2022,1339.8,1339.8,1313.1,202634,1317.6
05-05-2022,1376,1376,1346.5,433003,1352.7
04-05-2022,1403,1403,1349.5,188884,1356.25
02-05-2022,1363,1405.95,1363,387650,1403.1
29-04-2022,1379.9,1404.7,1372,226194,1384.75
28-04-2022,1375,1375.8,1362,250493,1371.05
27-04-2022,1360,1378.3,1355.25,359986,1372.65
26-04-2022,1374.8,1383.8,1357.15,198963,1372.35
25-04-2022,1352.6,1370.7,1323.9,274235,1365.55
22-04-2022,1358.75,1375.45,1349.55,1157614,1355.45
21-04-2022,1364.9,1379.7,1353.35,563772,1374.25
20-04-2022,1355,1360,1336,888415,1354.65
