Date,Open,High,Low,Close,Volume
17-Dec-21,2700,2712.3,2611,2699.6,4503515
17-Dec-21,790,790,755.05,797.7,81000
20-Dec-21,2594,2594,2506.05,2617.35,3483707
20-Dec-21,781.1,781.1,701.6,760.8,55800
21-Dec-21,2583.75,2588.9,2530,2550.3,2502122
21-Dec-21,747,782,747,745,3600
22-Dec-21,2551.95,2557.15,2520.15,2540.85,2763684
22-Dec-21,760,760,740.5,750,5400
23-Dec-21,2558,2582,2543.35,2539,1777068
23-Dec-21,775,775,763,759.8,3600
24-Dec-21,2585,2585,2525.5,2571.15,1033480
24-Dec-21,744.9,758,741.05,772,11400
27-Dec-21,2520,2564.9,2509.45,2534.55,915233
27-Dec-21,750,760,750,747.05,2400
28-Dec-21,2579.8,2587.85,2548,2558.85,1634180
28-Dec-21,755,763.8,747.2,760,7200
29-Dec-21,2575,2581,2551,2565.35,1474656
29-Dec-21,765,765,760.5,751,1200
30-Dec-21,2561.3,2579.8,2545.4,2563.55,1558019
30-Dec-21,769.75,780,765,760.5,6600
31-Dec-21,2565,2608.65,2561,2563.7,2289067
31-Dec-21,785,785,780,778,3000
03-Jan-22,2594,2640,2587.1,2586.45,1256497
03-Jan-22,781.1,814,777.1,780,39000
04-Jan-22,2645,2678.7,2620.35,2636.4,1846249
04-Jan-22,800,808,792.7,802.25,6000
05-Jan-22,2680.95,2695.45,2652.3,2675.3,3743882
05-Jan-22,800,808,800,808,11400
06-Jan-22,2646.35,2654.75,2603.5,2673.65,4616700
06-Jan-22,800,800,772,808,9000
07-Jan-22,2606.05,2618.3,2585,2620.4,6185361
07-Jan-22,770,780,763.05,774.7,12000
10-Jan-22,2601.9,2665.05,2601.9,2596.7,5328083
10-Jan-22,770,797,765,764,30000
11-Jan-22,2664,2729,2664,2659.65,4170007
11-Jan-22,780.5,805,780.5,780.5,18000
12-Jan-22,2736,2752,2713.05,2710.95,2695634
12-Jan-22,800,809.9,795,795,20400
13-Jan-22,2750,2762,2726.1,2737.5,2011413
13-Jan-22,808,817.9,806,798.95,7800
14-Jan-22,2712,2731.6,2687.3,2756,1765906
14-Jan-22,784.5,815.05,775.05,809.4,25800
17-Jan-22,2710.6,2733.1,2692.5,2712.45,1614989
17-Jan-22,810.05,810.05,786,803,11400
18-Jan-22,2713,2713.55,2656.8,2702.7,2086266
18-Jan-22,790.05,798.5,785.05,798,17400
19-Jan-22,2681,2698.85,2608.1,2662.5,1793748
19-Jan-22,782,782,762,790.8,7800
20-Jan-22,2612.65,2630,2543.4,2620.25,3759429
20-Jan-22,751,759.75,749.5,769.85,7800
21-Jan-22,2553.5,2605.35,2542.05,2569.3,3952946
21-Jan-22,760,765,752.5,754.9,5400
24-Jan-22,2571.65,2601.8,2510.35,2592.95,2340062
24-Jan-22,744,744,682.05,757.8,144000
25-Jan-22,2500,2540.7,2473.8,2539.8,4528568
25-Jan-22,699.5,708,690,700.25,5400
27-Jan-22,2505.6,2514,2448.6,2530.6,6600059
27-Jan-22,680,709,672.1,708,80400
28-Jan-22,2513.7,2556.8,2488.7,2503.35,4885166
28-Jan-22,710.05,730,710.05,707,27600
31-Jan-22,2541.8,2561.4,2513.15,2516.5,3306726
31-Jan-22,733.55,733.55,720,719.9,4800
01-Feb-22,2552.6,2596,2510.3,2521,2980741
01-Feb-22,730,765.05,730,726,24600
02-Feb-22,2583.2,2623.3,2580.7,2565.35,4160178
02-Feb-22,768,780,752.1,763.85,31200
03-Feb-22,2613,2620,2520,2612.95,4647089
03-Feb-22,740.05,745.55,720.1,758,9000
04-Feb-22,2546.5,2547,2497,2527.8,4404184
04-Feb-22,734.9,747.5,720,722.05,14400
07-Feb-22,2488.5,2512.1,2420,2503.25,3664108
07-Feb-22,705.75,712,675,722,41400
08-Feb-22,2441,2452,2405,2428.15,6127473
08-Feb-22,680,688.45,660.05,678.2,28800
09-Feb-22,2432,2442.5,2402.5,2414.6,7141774
09-Feb-22,671,687,660.1,672.2,25800
10-Feb-22,2462,2505.7,2441.6,2435.35,6346218
10-Feb-22,689.8,704.9,685.1,675.05,36000
11-Feb-22,2449.95,2449.95,2417.1,2476.55,4062444
11-Feb-22,656.1,670.55,646,686.55,44400
14-Feb-22,2390,2390,2290,2426.35,5903697
14-Feb-22,600,644,600,647.6,45000
15-Feb-22,2319.75,2345,2286.85,2296.8,9153706
15-Feb-22,614.7,633.9,610,603,171600
16-Feb-22,2341,2403.85,2341,2340.25,8005225
16-Feb-22,635,642,622,625,19200
17-Feb-22,2389.95,2426,2361.8,2363.85,5317679
17-Feb-22,642,642,621,623.95,33000
18-Feb-22,2411.8,2451,2402.4,2411.8,3725963
18-Feb-22,639.75,654,639.75,630.75,27600
21-Feb-22,2424.95,2447.65,2410,2441.15,2979739
21-Feb-22,640,655,640,640.5,16200
22-Feb-22,2385.1,2462.25,2373.15,2436.8,4604370
22-Feb-22,610,635,610,640.6,21600
23-Feb-22,2471.8,2479.45,2428.3,2453.95,3044306
23-Feb-22,640.05,645.95,617,635,96600
24-Feb-22,2367,2401,2331,2437.05,5058230
24-Feb-22,600,619,600,620.3,43800
25-Feb-22,2380.9,2417.1,2370.05,2343.05,2731176
25-Feb-22,623,626,608,609.8,52800
28-Feb-22,2375,2402.8,2333,2401.35,8366630
28-Feb-22,595,610,595,610,10800
02-Mar-22,2321.5,2321.5,2259.45,2364.5,8890970
02-Mar-22,560,593.7,560,600,27000
03-Mar-22,2280,2306.55,2262.25,2278.1,6191711
03-Mar-22,571.1,581,547,570,46200
04-Mar-22,2250.3,2263,2203,2273,4537882
04-Mar-22,532,540,520,548.2,142800
07-Mar-22,2139.4,2154.9,2098.2,2217.5,7675627
07-Mar-22,490,506,480.6,529.8,45000
08-Mar-22,2106,2161.95,2046,2121.95,9024183
08-Mar-22,485,533.8,480,497.1,72600
09-Mar-22,2151.7,2216,2120.35,2151.7,6114047
09-Mar-22,530,550,525,525,43200
10-Mar-22,2287,2287,2206.65,2194.4,4183914
10-Mar-22,562,567.8,542,533.15,16200
11-Mar-22,2216,2259.85,2189.9,2237.95,2532517
11-Mar-22,549.5,580,549.5,542,13800
14-Mar-22,2235,2285.6,2218,2230,2153393
14-Mar-22,555.25,560.25,543,580,58800
15-Mar-22,2291.7,2308.05,2230.45,2275.7,4557236
15-Mar-22,565,570,540,550.05,11400
16-Mar-22,2280,2320,2272.65,2240.85,3558601
16-Mar-22,572.7,580,561,541.8,15600
17-Mar-22,2346,2423.8,2346,2292.1,6664277
17-Mar-22,605.9,605.9,587,569.75,84000
21-Mar-22,2459,2459,2383.5,2415.25,3702411
21-Mar-22,577,579,577,590.65,2400
22-Mar-22,2398,2420,2355.55,2391.9,6357856
22-Mar-22,570,584,570,577.75,9600
23-Mar-22,2408.75,2422.6,2341.2,2402.75,3173223
23-Mar-22,570,570,545,574.5,57600
24-Mar-22,2318,2356.95,2303.55,2346.3,3994199
24-Mar-22,540,540,510,548.95,114000
25-Mar-22,2333,2339.05,2286.75,2310.5,3418282
25-Mar-22,530,550,508,510.2,73200
28-Mar-22,2310,2313.9,2234.1,2303,4734110
28-Mar-22,519,520,495,519.45,54600
29-Mar-22,2285.9,2344.9,2284,2268.25,3202852
29-Mar-22,517.95,530,507.65,498.9,102000
