Date,Open,High,Low,Close,Volume
17-Dec-21,2700,2712.3,2611,2699.6,4503515
17-Dec-21,790,790,755.05,797.7,81000
20-Dec-21,2594,2594,2506.05,2617.35,3483707
20-Dec-21,781.1,781.1,701.6,760.8,55800
21-Dec-21,2583.75,2588.9,2530,2550.3,2502122
21-Dec-21,747,782,747,745,3600
22-Dec-21,2551.95,2557.15,2520.15,2540.85,2763684
22-Dec-21,760,760,740.5,750,5400
23-Dec-21,2558,2582,2543.35,2539,1777068
23-Dec-21,775,775,763,759.8,3600
24-Dec-21,2585,2585,2525.5,2571.15,1033480
24-Dec-21,744.9,758,741.05,772,11400
27-Dec-21,2520,2564.9,2509.45,2534.55,915233
27-Dec-21,750,760,750,747.05,2400
28-Dec-21,2579.8,2587.85,2548,2558.85,1634180
28-Dec-21,755,763.8,747.2,760,7200
29-Dec-21,2575,2581,2551,2565.35,1474656
29-Dec-21,765,765,760.5,751,1200
30-Dec-21,2561.3,2579.8,2545.4,2563.55,1558019
30-Dec-21,769.75,780,765,760.5,6600
31-Dec-21,2565,2608.65,2561,2563.7,2289067
31-Dec-21,785,785,780,778,3000
03-Jan-22,2594,2640,2587.1,2586.45,1256497
03-Jan-22,781.1,814,777.1,780,39000
04-Jan-22,2645,2678.7,2620.35,2636.4,1846249
04-Jan-22,800,808,792.7,802.25,6000
05-Jan-22,2680.95,2695.45,2652.3,2675.3,3743882
05-Jan-22,800,808,800,808,11400
06-Jan-22,2646.35,2654.75,2603.5,2673.65,4616700
06-Jan-22,800,800,772,808,9000
