Date,Open,High,Low,Close,Volume
28-May-20,1580,1643.8,1577,1570.4,10262028
29-May-20,1615.9,1676.35,1590.9,1623.7,13809103
01-Jun-20,1706.6,1764.85,1701.3,1658.9,8056778
02-Jun-20,1737.7,1822.35,1732.15,1737.7,8319067
03-Jun-20,1835.2,1859.45,1823.1,1813.55,9490542
04-Jun-20,1815,1828.4,1759,1835.65,7617538
05-Jun-20,1775,1788.95,1740.6,1764.3,6691738
08-Jun-20,1801,1818.9,1748.35,1766.6,6209421
09-Jun-20,1763.2,1826.75,1746,1760.8,9065372
10-Jun-20,1784,1820,1782,1772.1,4631195
11-Jun-20,1805,1826,1781.35,1809.3,5383998
12-Jun-20,1710,1809,1710,1787.45,5936632
15-Jun-20,1786.95,1805.25,1726,1792.2,5082387
16-Jun-20,1785,1834,1768.05,1751.65,7453412
17-Jun-20,1819,1847.15,1786,1821.9,6816822
18-Jun-20,1790,1869,1787.3,1794.65,5334835
19-Jun-20,1854,1867.5,1814,1855.95,12199449
22-Jun-20,1850.8,1874.2,1813.1,1835.1,4782899
23-Jun-20,1820,1845,1803.05,1819.4,5043383
24-Jun-20,1825,1869,1788.6,1838.1,7029207
25-Jun-20,1782.2,1811,1761.9,1797.75,5939864
26-Jun-20,1793.85,1799.9,1752.4,1777.8,5731517
29-Jun-20,1755,1775,1726.25,1769.35,3948941
30-Jun-20,1751.15,1792.7,1747.2,1741.15,6325246
01-Jul-20,1764,1844.8,1760.4,1754.65,6991685
02-Jul-20,1852.95,1899,1842.6,1835.15,6480519
03-Jul-20,1905.55,1908,1867.3,1889.45,4430264
06-Jul-20,1903.25,1909.25,1864.55,1885.2,5073705
07-Jul-20,1880,1892.35,1857,1868.7,4157365
08-Jul-20,1895,1907,1871,1886.75,2885754
09-Jul-20,1871.3,1947.9,1865,1886.05,6703324
10-Jul-20,1915,1931.9,1876.25,1941.85,3853348
13-Jul-20,1905,1907.2,1840,1886,3403604
14-Jul-20,1825,1825.3,1770.5,1845.55,5529793
15-Jul-20,1809,1821.9,1782,1791.6,3994980
16-Jul-20,1792,1794.7,1750,1789.9,4230162
17-Jul-20,1800,1821.95,1784.05,1787.8,4240987
20-Jul-20,1844,1844,1801,1805.85,3915997
21-Jul-20,1816.5,1900.95,1815,1806.05,6884035
22-Jul-20,1895.5,1898.95,1851.5,1883.65,5538884
23-Jul-20,1881.05,1910,1871.6,1881.05,3647242
24-Jul-20,1854,1857.8,1817,1875.8,3309356
27-Jul-20,1841.3,1861.95,1824,1841.3,3724639
28-Jul-20,1859.35,1907,1844.5,1850.75,4346193
29-Jul-20,1885,1918.5,1867.2,1897.35,7413828
30-Jul-20,1880,1900.7,1804,1877.3,7473426
31-Jul-20,1805,1811.2,1759,1810.65,7746014
03-Aug-20,1781,1781.95,1730.1,1781.95,4648927
04-Aug-20,1749,1794.45,1743.4,1739.8,4722583
05-Aug-20,1784.4,1811.5,1766.25,1781.1,5576455
06-Aug-20,1798.25,1805.7,1762.05,1776.7,6004624
07-Aug-20,1774.95,1781.8,1763,1783.75,5129995
10-Aug-20,1794,1811,1789.3,1777.7,3030917
11-Aug-20,1813,1846.75,1810.5,1798.95,4944312
12-Aug-20,1825.75,1837.7,1802,1826.75,3606317
13-Aug-20,1818.5,1823.65,1799.55,1814.2,3769538
13-Aug-20,310.2,339,299,180,984600
14-Aug-20,1818.6,1823.75,1773.25,1804.85,6136766
14-Aug-20,300,320,300,299.95,521400
17-Aug-20,1805,1807.85,1783.85,1791.7,4076960
17-Aug-20,315,319.5,312,309,233400
18-Aug-20,1801.1,1825.4,1795.95,1800.55,3413536
18-Aug-20,319.9,325,319.9,315.4,149400
19-Aug-20,1835,1835.9,1818.05,1820.7,2934730
19-Aug-20,325,329,323,322.25,57000
20-Aug-20,1803,1807.95,1782.25,1827.95,2702815
20-Aug-20,310.25,323,310.1,323.25,34800
21-Aug-20,1800,1824.7,1787.15,1785.15,3466213
21-Aug-20,327.75,335,324,320.7,366000
24-Aug-20,1814.95,1849,1811,1804.05,3816127
24-Aug-20,338,342.95,335,328.5,372600
25-Aug-20,1843.75,1852.4,1817.05,1829.85,2646159
25-Aug-20,344,344,333,337.7,27600
26-Aug-20,1837,1837.8,1803.6,1829.6,3187424
26-Aug-20,333,335,332,335,13200
27-Aug-20,1832,1883,1830,1816,8648531
27-Aug-20,340,344,338,333.8,109200
28-Aug-20,1871,1889,1862.8,1864.1,4903981
28-Aug-20,340,347.8,335.3,339.55,78000
31-Aug-20,1898.5,1921.9,1797.55,1883.25,7604691
31-Aug-20,352.75,352.75,320,345.3,76200
01-Sep-20,1858,1884,1831.85,1832.6,3793458
01-Sep-20,338.95,339,322,331.7,37200
02-Sep-20,1849.85,1849.95,1810,1851.2,4235148
02-Sep-20,322,335.05,322,336.55,48600
03-Sep-20,1831,1842.8,1803.45,1827.2,3350617
03-Sep-20,336,336,330.2,334.7,24600
04-Sep-20,1783.6,1789,1761.8,1808.75,4214148
04-Sep-20,328.5,332,325,330.35,41400
07-Sep-20,1773,1801.45,1760,1769.7,4073465
07-Sep-20,330,330.45,327,328,17400
08-Sep-20,1785.1,1793.25,1770.8,1791.1,2456321
08-Sep-20,329.85,329.95,326.25,327.85,4800
09-Sep-20,1759.55,1777.9,1755,1777.3,2509630
09-Sep-20,322.15,325.95,320,326.25,28200
10-Sep-20,1781,1792.95,1760,1760.75,3245630
10-Sep-20,321.05,324,321,324.95,46800
11-Sep-20,1771,1786,1760,1777.45,2232185
11-Sep-20,322.05,322.05,315.25,322.7,39600
