Date,Open,High,Low,Close,Volume
10-Jul-20,1122,1122,1100,1105.35,277259
09-Jul-20,1115.05,1130,1107.15,1125.7,253015
08-Jul-20,1105,1124.35,1105,1109.35,333288
07-Jul-20,1106.05,1111.75,1093.15,1105,334941
06-Jul-20,1106.1,1118.85,1100,1102.95,912240
03-Jul-20,1090.7,1100,1069.8,1074.2,454526
02-Jul-20,1091,1110.75,1085.5,1089.7,560092
01-Jul-20,1065.7,1095.9,1061.55,1085.65,907347
30-Jun-20,1077.9,1078.75,1056.3,1065.7,435278
29-Jun-20,1033,1082,1033,1076.4,1727403
26-Jun-20,1040,1062.5,1027.65,1055.6,601584
25-Jun-20,1015,1049,1007.25,1028.95,807420
24-Jun-20,1045.85,1057.65,1029.7,1032.4,570032
23-Jun-20,1035,1045,1016.35,1040.85,621513
22-Jun-20,1023,1045.2,1023,1028.5,763426
19-Jun-20,1022,1042.7,1013.15,1033.65,717999
18-Jun-20,980,1024.9,972.25,1019.75,1170646
17-Jun-20,986.55,998.45,974.05,980.9,822825
16-Jun-20,973,993.45,952.05,990.35,1421931
15-Jun-20,972.4,973.3,942.65,950.8,922866
12-Jun-20,929,986.45,928,983,737606
11-Jun-20,989,989,965.1,968.65,494738
10-Jun-20,988.2,1000,978.4,991.8,1176521
09-Jun-20,1023.9,1025,979.35,986.95,706114
08-Jun-20,1051,1066.8,1006.6,1015.45,1677455
05-Jun-20,1003,1041.8,1002.35,1034.75,572133
04-Jun-20,1026,1039.45,991.15,1003.25,793208
03-Jun-20,1010,1045,1010,1022.1,630019
02-Jun-20,988,1005,975.4,1000.9,685663
01-Jun-20,970,995,968.5,986.9,577537
