Date,Open,High,Low,Close,Volume
2022-05-24,1297.7,1325.3,1296.2,1318.95,106241
2022-05-23,1313,1329.55,1299,1302.9,382983
2022-05-20,1300,1324.2,1292.2,1320.7,341264
2022-05-19,1285,1296.6,1278.3,1287.2,335166
2022-05-18,1322,1333,1310,1314.35,234160
2022-05-17,1314,1317,1298.35,1314.05,638165
2022-05-16,1297,1311.8,1285,1305.1,146395
2022-05-13,1317,1317,1287.05,1290.95,389864
2022-05-12,1328.9,1328.9,1293.35,1303.1,227388
2022-05-11,1354,1355.45,1328.7,1348.1,283117
2022-05-10,1315,1352.95,1315,1341.35,456119
2022-05-09,1305,1326.4,1295.7,1320.1,489237
2022-05-06,1339.8,1339.8,1313.1,1317.6,202634
2022-05-05,1376,1376,1346.5,1352.7,433003
2022-05-04,1403,1403,1349.5,1356.25,188884
2022-05-02,1363,1405.95,1363,1403.1,387650
2022-04-29,1379.9,1404.7,1372,1384.75,226194
2022-04-28,1375,1375.8,1362,1371.05,250493
2022-04-27,1360,1378.3,1355.25,1372.65,359986
2022-04-26,1374.8,1383.8,1357.15,1372.35,198963
2022-04-25,1352.6,1370.7,1323.9,1365.55,274235
2022-04-22,1358.75,1375.45,1349.55,1355.45,1157614
2022-04-21,1364.9,1379.7,1353.35,1374.25,563772
2022-04-20,1355,1360,1336,1354.65,888415
