Date,Open,High,Low,Close,Volume
2022-04-19,1385,1388.6,1328,1343.3,2091982
2022-04-18,1440,1440,1390.1,1395.35,493756
2022-04-13,1492.9,1501.95,1462.35,1464.85,286246
2022-04-12,1483.9,1507,1481,1493.25,463987
2022-04-11,1510,1510,1494,1496.2,413938
2022-04-08,1513,1525,1496.95,1515.1,472233
2022-04-07,1543.75,1543.75,1514,1516.9,263571
2022-04-06,1599,1599,1548.45,1550.8,333541
2022-04-05,1671,1671,1602,1607.15,410187
2022-04-04,1562.3,1721.85,1562.3,1656.45,3684112
2022-04-01,1474,1509.9,1471,1506.3,178324
2022-03-31,1478,1484.35,1465.6,1469.95,66274
2022-03-30,1465,1483,1454.1,1476.4,349900
2022-03-29,1440,1460,1430,1452.95,294890
2022-03-28,1432.15,1436.8,1401.6,1432.9,322868
2022-03-25,1448,1451.1,1418.8,1431.75,404381
2022-03-24,1466,1466.05,1434.95,1442.7,170544
2022-03-23,1502,1517.8,1464,1475.65,228931
2022-03-22,1485,1497.95,1457.15,1494.45,490620
2022-03-21,1487,1493.7,1471.75,1486.05,219081
2022-03-17,1474.65,1489.9,1469.7,1480.25,131873
2022-03-16,1450,1454.85,1436.6,1447.85,115220
2022-03-15,1445,1449.95,1412.15,1423.8,273660
2022-03-14,1411,1449.9,1411,1442.4,690541
2022-03-11,1390,1409,1373.65,1397,215335
2022-03-10,1426.3,1426.3,1380.2,1392.1,297516
2022-03-09,1334.4,1374.6,1319.15,1370.75,277538
2022-03-08,1300,1334.55,1292,1327.05,469541
2022-03-07,1320,1330.55,1297.4,1323.7,900647
2022-03-04,1362,1385.6,1336.65,1366.6,327101
2022-03-03,1384.5,1392.25,1363.1,1370.25,782536
2022-03-02,1385,1397.95,1355,1374.55,854944
2022-02-28,1435.15,1438.2,1414.4,1426.7,674434
2022-02-25,1444,1465.95,1431.9,1455.65,390256
2022-02-24,1440,1473.5,1408.1,1419.6,672765
2022-02-23,1526,1526,1496.6,1501.9,204617
2022-02-22,1495,1522.15,1490,1511.45,189998
2022-02-21,1502,1529.9,1495.55,1521.75,235659
2022-02-18,1497,1517.25,1491,1512.65,139914
2022-02-17,1515,1522,1502.3,1506.3,192037
2022-02-16,1526.05,1533.75,1507.15,1516.05,265113
2022-02-15,1474.9,1524.95,1472.6,1518.2,142507
2022-02-14,1462.05,1498.4,1462.05,1473.05,317973
2022-02-11,1508.45,1524.95,1501,1518.85,137212
2022-02-10,1510.6,1535,1501.45,1524.15,355549
2022-02-09,1476.55,1499.25,1467,1497.7,97678
2022-02-08,1473.5,1479,1445,1461.1,286057
2022-02-07,1514,1519.15,1460,1468.6,233692
2022-02-04,1535,1535,1513.7,1524.25,302768
2022-02-03,1529,1539.4,1508.25,1514.35,332001
2022-02-02,1512,1535,1504.95,1531.2,429197
2022-02-01,1500,1516.9,1474.2,1498.4,1155466
2022-01-31,1473.7,1491.2,1466.75,1485.55,185150
2022-01-28,1485,1486.35,1460.05,1463.3,297563
2022-01-27,1460,1483.65,1435.25,1476.3,247236
2022-01-25,1464,1494.4,1444.05,1487.25,362501
2022-01-24,1518.95,1520.15,1467.95,1487.45,130592
2022-01-21,1500,1528.9,1486.3,1520.7,256321
2022-01-20,1525.15,1526.95,1500,1509.7,190843
2022-01-19,1535,1539,1513.35,1518.55,193600
2022-01-18,1531.5,1550,1523.25,1529.6,357984
2022-01-17,1545,1556.45,1519.65,1521.55,448365
2022-01-14,1530,1548.45,1519.65,1545.25,262320
2022-01-13,1559,1559,1520.55,1528.35,519246
2022-01-12,1571,1576,1552,1556.55,148893
2022-01-11,1564,1568.55,1548,1565.7,98811
2022-01-10,1558.65,1571.75,1545.05,1558.85,111975
2022-01-07,1538.1,1566.65,1535.45,1550.4,214956
2022-01-06,1540.55,1553.5,1530.05,1539.9,90321
2022-01-05,1536,1572,1529,1564.65,199252
2022-01-04,1519.7,1532.4,1508,1528.4,255724
2022-01-03,1479.8,1522.9,1479.8,1519.7,600805
2021-12-31,1460,1484.85,1460,1479.8,185943
2021-12-30,1457.4,1465.9,1446.55,1461.55,126226
2021-12-29,1459,1461.15,1447.85,1453.65,161480
2021-12-28,1461,1467,1454,1460.9,374115
2021-12-27,1433,1453.6,1421.3,1450.15,236492
2021-12-24,1449,1449,1427.95,1439.3,120812
2021-12-23,1454,1457.5,1437,1444,342612
2021-12-22,1449,1455.9,1436.15,1445.3,243875
2021-12-21,1436,1450.85,1430,1442.3,232633
2021-12-20,1457,1457,1414,1426.6,1108819
2021-12-17,1500.2,1500.25,1468,1472.9,554208
2021-12-16,1504.1,1516.2,1493.65,1500.2,191063
2021-12-15,1497.35,1520,1496,1500.85,263653
2021-12-14,1509.75,1514.7,1497.25,1503.5,150843
2021-12-13,1527.05,1537.45,1508,1510.65,326275
2021-12-10,1528.9,1528.9,1508.55,1522.35,147663
2021-12-09,1549,1554.8,1522.1,1527.5,375166
2021-12-08,1540,1555.6,1535.7,1553.45,661736
2021-12-07,1510,1532,1510,1525.45,398202
2021-12-06,1515.7,1519.15,1497.1,1505.4,128511
2021-12-03,1533,1536,1507.55,1513.1,190499
2021-12-02,1515,1528.95,1501.05,1525.65,92024
2021-12-01,1490.55,1507,1488,1504.6,129565
2021-11-30,1494,1529.05,1486.25,1493.6,102663
2021-11-29,1485.15,1507.3,1461.5,1501.2,306032
2021-11-26,1506,1507.1,1485.55,1490.1,120452
2021-11-25,1507,1533,1506.6,1524.25,111057
2021-11-24,1523,1536.45,1514.7,1518.35,156241
2021-11-23,1510,1527.4,1496.7,1516.8,104588
2021-11-22,1539.6,1553.4,1499.05,1515.2,998009
2021-11-18,1530,1543,1526.65,1538.75,132814
2021-11-17,1540,1543.8,1529.5,1530.65,81189
2021-11-16,1558,1558,1541.85,1547.45,60206
2021-11-15,1568,1571.8,1554,1557,155510
2021-11-12,1555,1559,1545.05,1553.3,130116
2021-11-11,1554,1555,1536.4,1548.4,1077841
2021-11-10,1570,1570,1551.55,1555.05,1109680
2021-11-09,1598,1598,1569,1571.15,305281
2021-11-08,1590,1604.75,1571,1600.2,359705
2021-11-04,1599.95,1599.95,1589.75,1594,44664
2021-11-03,1606.7,1610,1576,1581.85,130943
2021-11-02,1609.45,1622.2,1600.5,1606.7,353535
2021-11-01,1583,1611.5,1583,1606.15,257071
2021-10-29,1600,1602,1560.05,1582.35,246500
2021-10-28,1643.3,1648.95,1586.9,1592.55,88684
2021-10-27,1650,1665,1637.05,1642.65,255586
2021-10-26,1652.9,1674,1646.95,1653.05,169035
2021-10-25,1689,1689.3,1616.85,1656.85,370114
2021-10-22,1679,1708,1654.25,1681.95,396162
2021-10-21,1677.7,1681.75,1660.85,1675.7,195339
2021-10-20,1690.95,1700,1664.55,1673.5,445875
2021-10-19,1671.15,1692,1671.15,1688.95,146432
2021-10-18,1709.95,1724.3,1666.85,1670.15,947940
2021-10-14,1642.45,1690,1639.05,1685.9,304067
2021-10-13,1637,1648,1630,1639.05,86572
2021-10-12,1628,1641,1625,1629.3,141086
2021-10-11,1603,1644.85,1600,1634.35,144074
2021-10-08,1612,1621.95,1600,1602.2,188419
2021-10-07,1624.1,1628.05,1607,1611.25,221896
2021-10-06,1601,1626.4,1587,1615.05,141766
2021-10-05,1586.15,1597.55,1577,1595.3,154555
2021-10-04,1590,1601,1583.15,1585.3,239337
2021-10-01,1582,1586.95,1565.7,1582.55,355982
2021-09-30,1592,1606.15,1583.3,1595.5,441947
2021-09-29,1590,1606.9,1584.95,1593.2,339766
2021-09-28,1635,1635,1582.05,1615.95,185141
2021-09-27,1614.05,1635.6,1610.15,1624.25,438320
2021-09-24,1578,1607.8,1575,1601.35,671255
2021-09-23,1548,1572.15,1542.4,1570.25,534849
2021-09-22,1551,1551,1530,1534.45,203143
2021-09-21,1561.15,1568.35,1528.7,1549.85,113920
2021-09-20,1569,1581,1558,1559.35,234146
2021-09-17,1567,1589.85,1559.7,1583.3,206219
2021-09-16,1543.4,1563.9,1537,1559.7,330616
2021-09-15,1541,1554.7,1536.35,1547.1,254967
2021-09-14,1563,1564.75,1546.2,1548.25,253611
2021-09-13,1562,1581,1553.6,1555.35,245098
2021-09-09,1571,1579,1561.1,1567.65,1165681
2021-09-08,1568.25,1580.45,1566,1577.1,128572
2021-09-07,1566.8,1581.95,1555.25,1569.15,131961
2021-09-06,1580,1581.5,1562.55,1566.8,95631
2021-09-03,1589.1,1597.85,1568.4,1575.65,213128
2021-09-02,1579.15,1592,1572,1589.1,162957
2021-09-01,1580,1597.5,1575,1578.5,154842
2021-08-31,1567,1583,1560,1581.5,102703
2021-08-30,1555,1569.9,1548,1568.05,204332
2021-08-27,1544,1558.7,1544,1548.7,222704
2021-08-26,1554.7,1571,1543.45,1554.85,81855
2021-08-25,1555,1564.6,1548,1556.95,102726
2021-08-24,1528,1564.35,1527.4,1558.75,192191
2021-08-23,1528,1534,1509,1523.5,245842
2021-08-20,1488.95,1519.75,1487,1514.35,102519
2021-08-18,1550,1564.75,1508.45,1512.9,522472
2021-08-17,1518.95,1524.35,1505.3,1514.85,231789
2021-08-16,1525.1,1535,1521.6,1529.35,118740
2021-08-13,1502,1531,1501.2,1525.1,435753
2021-08-12,1492,1505,1489.4,1501.4,199850
2021-08-11,1512,1518.7,1491.1,1494.95,150140
2021-08-10,1490.9,1519.5,1490,1507.45,176442
2021-08-09,1485,1506.6,1480,1503.65,518766
2021-08-06,1480,1499.5,1475,1493.7,283020
2021-08-05,1474.9,1506.95,1457.55,1485.65,382365
2021-08-04,1446.95,1474.75,1440.9,1464.85,287825
2021-08-03,1413.4,1439.5,1413.4,1434.45,310495
2021-08-02,1437.8,1437.8,1416.25,1422.75,143550
2021-07-30,1426,1431.85,1409.65,1425.8,136080
2021-07-29,1424.75,1430,1414.1,1417.5,289879
2021-07-28,1436,1436.85,1404.15,1417.6,272835
2021-07-27,1436,1450,1436,1439.8,73147
2021-07-26,1434.75,1443.85,1430,1434.45,1448926
2021-07-23,1450.8,1457.7,1435.5,1442.85,236030
2021-07-22,1458,1468.45,1445.05,1449.1,153399
2021-07-20,1450,1454,1436.25,1443,196323
2021-07-19,1491,1491,1466.15,1470.95,408272
2021-07-16,1522,1530,1519.35,1521.7,91268
2021-07-15,1506.2,1526.6,1501.75,1520.5,130830
2021-07-14,1502,1507.35,1491.3,1498.35,66497
2021-07-13,1495.05,1505.5,1484.2,1501.5,231288
2021-07-12,1505,1505,1483.95,1487.3,143040
2021-07-09,1516,1516,1497.65,1501.8,60762
2021-07-08,1527,1535,1513.35,1520.1,70702
2021-07-07,1539.95,1545.1,1528.3,1539.15,84974
2021-07-06,1503.4,1540.35,1495.3,1534.35,313175
2021-07-05,1484.15,1504.4,1484.15,1495,186668
2021-07-02,1490,1490,1477.05,1480.65,66265
2021-07-01,1501.6,1501.65,1483.15,1486.45,137095
2021-06-30,1502,1508.95,1494.15,1498.05,66216
2021-06-29,1510,1510,1492.5,1501.6,60313
2021-06-28,1517,1523.35,1505.05,1508.1,80084
2021-06-25,1506.55,1522,1506.55,1514.15,408161
2021-06-24,1494.5,1512.75,1488.6,1506.25,159320
