Symbol,Series,Date,Close,Open,High,Low,Volume
HDFC,EQ,28-May-20,1570.4,1580,1643.8,1577,10262028
HDFC,EQ,29-May-20,1623.7,1615.9,1676.35,1590.9,13809103
HDFC,EQ,01-Jun-20,1658.9,1706.6,1764.85,1701.3,8056778
HDFC,EQ,02-Jun-20,1737.7,1737.7,1822.35,1732.15,8319067
HDFC,EQ,03-Jun-20,1813.55,1835.2,1859.45,1823.1,9490542
HDFC,EQ,04-Jun-20,1835.65,1815,1828.4,1759,7617538
HDFC,EQ,05-Jun-20,1764.3,1775,1788.95,1740.6,6691738
HDFC,EQ,08-Jun-20,1766.6,1801,1818.9,1748.35,6209421
HDFC,EQ,09-Jun-20,1760.8,1763.2,1826.75,1746,9065372
HDFC,EQ,10-Jun-20,1772.1,1784,1820,1782,4631195
HDFC,EQ,11-Jun-20,1809.3,1805,1826,1781.35,5383998
HDFC,EQ,12-Jun-20,1787.45,1710,1809,1710,5936632
HDFC,EQ,15-Jun-20,1792.2,1786.95,1805.25,1726,5082387
HDFC,EQ,16-Jun-20,1751.65,1785,1834,1768.05,7453412
HDFC,EQ,17-Jun-20,1821.9,1819,1847.15,1786,6816822
HDFC,EQ,18-Jun-20,1794.65,1790,1869,1787.3,5334835
HDFC,EQ,19-Jun-20,1855.95,1854,1867.5,1814,12199449
HDFC,EQ,22-Jun-20,1835.1,1850.8,1874.2,1813.1,4782899
HDFC,EQ,23-Jun-20,1819.4,1820,1845,1803.05,5043383
HDFC,EQ,24-Jun-20,1838.1,1825,1869,1788.6,7029207
HDFC,EQ,25-Jun-20,1797.75,1782.2,1811,1761.9,5939864
HDFC,EQ,26-Jun-20,1777.8,1793.85,1799.9,1752.4,5731517
HDFC,EQ,29-Jun-20,1769.35,1755,1775,1726.25,3948941
HDFC,EQ,30-Jun-20,1741.15,1751.15,1792.7,1747.2,6325246
HDFC,EQ,01-Jul-20,1754.65,1764,1844.8,1760.4,6991685
HDFC,EQ,02-Jul-20,1835.15,1852.95,1899,1842.6,6480519
HDFC,EQ,03-Jul-20,1889.45,1905.55,1908,1867.3,4430264
HDFC,EQ,06-Jul-20,1885.2,1903.25,1909.25,1864.55,5073705
HDFC,EQ,07-Jul-20,1868.7,1880,1892.35,1857,4157365
HDFC,EQ,08-Jul-20,1886.75,1895,1907,1871,2885754
HDFC,EQ,09-Jul-20,1886.05,1871.3,1947.9,1865,6703324
HDFC,EQ,10-Jul-20,1941.85,1915,1931.9,1876.25,3853348
HDFC,EQ,13-Jul-20,1886,1905,1907.2,1840,3403604
HDFC,EQ,14-Jul-20,1845.55,1825,1825.3,1770.5,5529793
HDFC,EQ,15-Jul-20,1791.6,1809,1821.9,1782,3994980
HDFC,EQ,16-Jul-20,1789.9,1792,1794.7,1750,4230162
HDFC,EQ,17-Jul-20,1787.8,1800,1821.95,1784.05,4240987
